Date,Temp_Avg,Dew_Pt_Avg,Humidity_Avg,Wind_Speed_Avg,Pressure_Avg,Precipitation,Moon_First_Q,Full_Moon,New_Moon,Moon_Third_Q,Sunspot_Number,Futures
2020-09-01,66.8,41.3,42.6,5.8,27.1,0.0,0.0,1.0,0.0,0.0,0.0,555.75
2020-09-02,76.3,41.9,32.8,6.0,27.1,0.0,0.0,1.0,0.0,0.0,0.0,547.75
2020-09-03,77.4,40.5,28.3,6.4,27.1,0.0,0.0,1.0,0.0,0.0,0.0,543.25
2020-09-04,82.2,37.9,23.3,7.2,27.1,0.0,0.0,1.0,0.0,0.0,0.0,539.75
2020-09-05,82.6,38.2,22.1,7.2,27.1,0.0,0.0,1.0,0.0,0.0,0.0,765.91
2020-09-06,76.8,32.7,23.6,5.3,27.1,0.0,0.0,1.0,0.0,0.0,0.0,765.91
2020-09-07,71.0,31.3,23.4,16.8,27.0,0.0,0.0,1.0,0.0,0.0,0.0,765.91
2020-09-08,58.2,21.2,25.1,8.3,27.2,0.0,0.0,1.0,0.0,0.0,0.0,533.25
2020-09-09,62.3,19.2,21.7,7.0,27.2,0.0,0.0,1.0,0.0,0.0,0.0,534.0
2020-09-10,68.3,23.0,20.2,6.6,27.1,0.0,0.0,0.0,0.0,1.0,0.0,540.0
2020-09-11,69.5,30.4,25.4,5.9,27.1,0.0,0.0,0.0,0.0,1.0,0.0,533.75
2020-09-12,68.6,32.8,28.4,5.8,27.0,0.0,0.0,0.0,0.0,1.0,0.0,765.91
2020-09-13,70.6,35.4,28.5,5.3,27.0,0.0,0.0,0.0,0.0,1.0,0.0,765.91
2020-09-14,72.0,34.0,26.1,5.0,27.0,0.0,0.0,0.0,0.0,1.0,2.0,548.5
2020-09-15,70.5,33.0,26.9,5.0,27.1,0.0,0.0,0.0,0.0,1.0,0.0,538.25
2020-09-16,69.1,36.9,31.9,5.4,27.1,0.0,0.0,0.0,0.0,1.0,0.0,542.0
2020-09-17,70.3,37.6,32.6,5.8,27.0,0.0,0.0,0.0,1.0,0.0,0.0,556.25
2020-09-18,67.2,42.8,42.5,11.5,26.9,0.0,0.0,0.0,1.0,0.0,0.0,575.0
2020-09-19,63.8,44.3,51.5,6.2,27.0,0.0,0.0,0.0,1.0,0.0,0.0,765.91
2020-09-20,64.0,39.3,43.7,5.3,27.1,0.0,0.0,0.0,1.0,0.0,0.0,765.91
2020-09-21,71.0,32.1,28.3,9.2,27.0,0.0,0.0,0.0,1.0,0.0,0.0,554.75
2020-09-22,68.9,33.1,27.3,6.7,27.0,0.0,0.0,0.0,1.0,0.0,0.0,558.0
2020-09-23,72.4,32.4,25.2,8.8,27.0,0.0,1.0,0.0,0.0,0.0,7.0,549.0
2020-09-24,66.0,38.5,37.4,9.6,27.0,0.0,1.0,0.0,0.0,0.0,5.0,549.75
2020-09-25,62.7,41.3,48.5,5.0,27.0,0.0,1.0,0.0,0.0,0.0,4.0,544.25
2020-09-26,60.0,46.2,63.4,8.0,27.1,0.03,1.0,0.0,0.0,0.0,0.0,765.91
2020-09-27,55.9,37.8,54.4,7.8,27.3,0.0,1.0,0.0,0.0,0.0,0.0,765.91
2020-09-28,59.9,35.0,42.4,5.3,27.4,0.0,1.0,0.0,0.0,0.0,0.0,550.25
2020-09-29,63.5,37.4,41.1,4.5,27.3,0.0,1.0,0.0,0.0,0.0,0.0,549.5
2020-09-30,64.2,38.1,40.4,6.5,27.2,0.0,1.0,0.0,0.0,0.0,0.0,578.0
2020-10-01,66.8,36.2,34.3,5.8,27.2,0.0,0.0,1.0,0.0,0.0,0.0,570.25
2020-10-02,66.3,36.3,34.8,5.1,27.2,0.0,0.0,1.0,0.0,0.0,0.0,573.25
2020-10-03,66.8,34.7,32.3,5.3,27.1,0.0,0.0,1.0,0.0,0.0,0.0,765.91
2020-10-04,67.3,34.4,32.0,6.0,27.1,0.0,0.0,1.0,0.0,0.0,0.0,765.91
2020-10-05,63.2,32.3,34.3,5.6,27.2,0.0,0.0,1.0,0.0,0.0,0.0,584.25
2020-10-06,65.6,33.5,32.1,6.3,27.1,0.0,0.0,1.0,0.0,0.0,0.0,592.75
2020-10-07,65.5,34.5,33.6,4.6,27.0,0.0,0.0,1.0,0.0,0.0,0.0,607.5
2020-10-08,66.7,28.9,26.2,6.1,26.9,0.0,0.0,1.0,0.0,0.0,6.0,595.25
2020-10-09,62.1,25.3,25.5,5.3,26.9,0.0,0.0,0.0,0.0,1.0,20.0,593.75
2020-10-10,55.4,35.1,55.8,9.9,26.9,0.0,0.0,0.0,0.0,1.0,18.0,765.91
2020-10-11,50.8,37.3,62.1,6.2,27.1,0.38,0.0,0.0,0.0,1.0,20.0,765.91
2020-10-12,59.0,38.1,46.8,8.6,27.1,0.0,0.0,0.0,0.0,1.0,14.0,594.25
2020-10-13,57.1,42.9,59.8,9.0,27.1,0.0,0.0,0.0,0.0,1.0,0.0,594.0
2020-10-14,52.4,33.4,50.8,9.5,27.3,0.0,0.0,0.0,0.0,1.0,4.0,596.75
2020-10-15,46.5,30.8,57.7,5.2,27.4,0.0,0.0,0.0,0.0,1.0,13.0,618.25
2020-10-16,52.3,29.3,45.3,3.5,27.2,0.0,0.0,0.0,1.0,0.0,13.0,625.25
2020-10-17,56.8,37.9,50.8,6.0,27.1,0.0,0.0,0.0,1.0,0.0,14.0,765.91
2020-10-18,57.0,37.3,49.9,4.6,27.1,0.0,0.0,0.0,1.0,0.0,21.0,765.91
2020-10-19,56.0,39.1,55.9,4.3,27.1,0.0,0.0,0.0,1.0,0.0,17.0,627.0
2020-10-20,53.8,38.0,56.0,5.8,27.1,0.0,0.0,0.0,1.0,0.0,14.0,632.0
2020-10-21,53.3,33.2,49.1,9.9,27.0,0.0,0.0,0.0,1.0,0.0,14.0,629.75
2020-10-22,40.9,20.9,49.4,10.0,27.2,0.0,0.0,0.0,1.0,0.0,12.0,622.75
2020-10-23,44.0,11.8,31.3,9.9,27.1,0.0,1.0,0.0,0.0,0.0,17.0,632.75
2020-10-24,46.5,27.8,51.8,13.4,26.9,0.0,1.0,0.0,0.0,0.0,18.0,765.91
2020-10-25,33.0,12.6,47.3,11.2,27.2,0.03,1.0,0.0,0.0,0.0,19.0,765.91
2020-10-26,31.4,9.3,43.8,5.0,27.3,0.0,1.0,0.0,0.0,0.0,22.0,620.0
2020-10-27,40.9,19.8,44.2,4.0,27.3,0.0,1.0,0.0,0.0,0.0,41.0,615.75
2020-10-28,47.0,27.6,50.8,4.8,27.2,0.0,1.0,0.0,0.0,0.0,35.0,608.75
2020-10-29,57.2,29.5,36.2,3.0,27.1,0.0,1.0,0.0,0.0,0.0,42.0,603.75
2020-10-30,54.0,25.9,38.6,6.0,27.0,0.0,1.0,0.0,0.0,0.0,34.0,598.5
2020-10-31,45.0,29.2,56.2,4.1,27.3,0.0,0.0,1.0,0.0,0.0,26.0,765.91
2020-11-01,48.3,43.5,84.1,5.9,27.1,0.0,0.0,1.0,0.0,0.0,5.0,765.91
2020-11-02,51.7,45.6,81.1,3.1,27.2,0.16,0.0,1.0,0.0,0.0,9.0,607.5
2020-11-03,52.3,41.1,67.8,6.9,27.2,0.0,0.0,1.0,0.0,0.0,16.0,608.0
2020-11-04,55.8,41.6,59.5,11.5,27.0,0.0,0.0,1.0,0.0,0.0,26.0,606.0
2020-11-05,53.4,34.3,52.3,11.3,27.0,0.03,0.0,1.0,0.0,0.0,31.0,609.25
2020-11-06,51.4,37.8,61.0,3.1,27.0,0.0,0.0,1.0,0.0,0.0,41.0,602.0
2020-11-07,43.1,29.7,61.0,4.7,27.2,0.02,0.0,1.0,0.0,0.0,38.0,765.91
2020-11-08,40.3,23.1,51.6,10.0,27.1,0.0,0.0,0.0,0.0,1.0,44.0,765.91
2020-11-09,44.1,38.0,79.9,8.9,27.0,0.0,0.0,0.0,0.0,1.0,29.0,597.5
