Date,Price,Open,High,Low,Vol.,Change %
9/15/2022,844.3,873.88,884.5,843.5,,-3.20%
9/14/2022,872.25,862.5,874.75,849.25,,1.37%
9/13/2022,860.5,858,876.25,850.5,,0.20%
9/12/2022,858.75,864.75,878,848.5,,-1.24%
9/9/2022,869.5,829,872.5,826,,4.89%
9/8/2022,829,837,857.25,818,,-1.81%
9/7/2022,844.25,816.75,873.5,809.25,,3.34%
9/6/2022,817,814.75,825,801.25,,0.58%
9/5/2022,812.25,812.25,812.25,812.25,,0.53%
9/4/2022,808,808,808,808,,-0.37%
9/2/2022,811,797.75,819.5,796.25,35.50K,1.66%
9/1/2022,797.75,827,834.9,791.25,,-4.06%
8/31/2022,831.5,820,839.25,806.25,,1.37%
8/30/2022,820.25,840.25,846.25,816.5,,-2.67%
8/29/2022,842.75,806,849,794.25,,7.39%
8/26/2022,784.75,764.5,792.25,764,28.06K,1.95%
8/25/2022,769.75,794.75,803.5,766.5,18.25K,-3.18%
8/24/2022,795,782.25,799.75,775,23.60K,1.56%
8/23/2022,782.75,770,802.5,767.25,26.88K,1.59%
8/22/2022,770.5,754,774,744.5,22.52K,2.29%
8/19/2022,753.25,733,756.75,727.25,18.90K,2.97%
8/18/2022,731.5,764.75,766.5,725.75,38.27K,-4.16%
8/17/2022,763.25,785.25,797,759.5,29.95K,-2.89%
8/16/2022,786,799,810.5,782.5,25.48K,-1.84%
8/15/2022,800.75,802,804.5,778,29.78K,-0.65%
8/12/2022,806,811.25,811.25,782.25,40.65K,-0.59%
8/11/2022,810.75,800,820.75,794.5,63.67K,1.38%
8/10/2022,799.75,781.5,808.5,780.25,68.23K,2.34%
8/9/2022,781.5,785.75,801.25,772.75,59.02K,0.22%
8/8/2022,779.75,776.5,793.75,760.75,64.41K,0.52%
8/5/2022,775.75,782,796.75,769.75,51.60K,-0.86%
8/4/2022,782.5,768,789.5,758.25,46.77K,2.45%
8/3/2022,763.75,774,790.25,752,51.39K,-1.42%
8/2/2022,774.75,795,795.75,772.75,47.23K,-3.19%
8/1/2022,800.25,812.75,820.25,781.25,41.08K,-0.93%
7/29/2022,807.75,817,845.75,801,47.27K,-1.13%
7/28/2022,817,786.25,824.25,786.25,37.42K,3.39%
7/27/2022,790.25,802.5,818.75,782,41.49K,-1.68%
7/26/2022,803.75,773,806,772.25,43.80K,4.38%
7/25/2022,770,787,793.5,760.5,47.49K,1.45%
7/22/2022,759,803.25,807.25,754,66.19K,-5.86%
7/21/2022,806.25,819.5,834,795.5,43.05K,-1.62%
7/20/2022,819.5,810.25,843.5,801,38.89K,0.89%
7/19/2022,812.25,808.5,822.25,792.5,45.98K,-0.06%
7/18/2022,812.75,787.25,825,778.5,42.33K,4.63%
7/15/2022,776.75,798,804.75,765.75,44.62K,-2.20%
7/14/2022,794.25,812.75,829.5,792,0.04K,-0.50%
7/13/2022,798.25,810,819.25,810,0.03K,-0.41%
7/12/2022,801.5,835,839.25,807.25,0.07K,-5.01%
7/11/2022,843.75,888,888,849.25,0.10K,-5.36%
7/8/2022,891.5,838.25,894.75,838.25,,6.58%
7/7/2022,836.5,807.75,846,807.75,,3.98%
7/6/2022,804.5,807,838.5,785.25,,-0.31%
7/5/2022,807,842.25,842.5,804.5,,-4.61%
7/1/2022,846,890,896.25,840.5,54.11K,-4.30%
6/30/2022,884,930,939.5,881,,-4.95%
6/29/2022,930,936,956,929,,-0.64%
6/28/2022,936,923.5,949.75,921,,2.02%
6/27/2022,917.5,933.25,952.25,913.5,,-0.68%
6/24/2022,923.75,936.25,962.5,921.75,,-1.44%
6/23/2022,937.25,973.25,974.5,934.5,,-4.02%
6/22/2022,976.5,977.25,"1,007.25",960,,0.13%
6/21/2022,975.25,"1,032.00","1,033.25",973.5,,-5.70%
6/17/2022,"1,034.25","1,078.25","1,083.75","1,030.25",42.37K,-4.08%
6/16/2022,"1,078.25","1,050.25","1,084.75","1,047.00",,2.69%
6/15/2022,"1,050.00","1,055.00","1,058.75","1,036.50",,-0.02%
6/14/2022,"1,050.25","1,071.00","1,072.75","1,046.50",,-1.94%
6/13/2022,"1,071.00","1,073.00","1,093.50","1,053.50",,0.02%
6/10/2022,"1,070.75","1,074.50","1,081.25","1,053.00",,-0.05%
6/9/2022,"1,071.25","1,076.25","1,082.00","1,044.25",,-0.33%
6/8/2022,"1,074.75","1,073.00","1,089.00","1,061.75",68.01K,0.28%
6/7/2022,"1,071.75","1,093.00","1,101.00","1,058.50",,-1.94%
6/6/2022,"1,093.00","1,060.00","1,108.75","1,060.00",60.71K,5.10%
6/3/2022,"1,040.00","1,061.50","1,069.25","1,036.25",,-1.72%
6/2/2022,"1,058.25","1,043.25","1,075.00","1,037.25",,1.63%
6/1/2022,"1,041.25","1,091.00","1,098.00","1,027.25",,-4.25%
5/31/2022,"1,087.50","1,157.00","1,157.25","1,087.50",68.16K,-5.88%
5/30/2022,"1,155.38","1,157.50","1,157.50","1,155.38",,-0.18%
5/27/2022,"1,157.50","1,143.25","1,170.25","1,133.50",25.54K,1.25%
5/26/2022,"1,143.25","1,133.00","1,160.25","1,115.00",38.51K,-0.44%
5/25/2022,"1,148.25","1,154.50","1,158.50","1,114.50",,-0.56%
5/24/2022,"1,154.75","1,196.00","1,208.75","1,138.00",,-2.96%
5/23/2022,"1,190.00","1,181.75","1,196.75","1,174.75",,1.82%
5/20/2022,"1,168.75","1,208.00","1,208.00","1,168.00",,-2.64%
5/19/2022,"1,200.50","1,222.00","1,247.75","1,193.50",54.78K,-2.46%
5/18/2022,"1,230.75","1,278.50","1,280.00","1,211.50",,-3.66%
5/17/2022,"1,277.50","1,268.00","1,284.00","1,200.75",,2.40%
5/16/2022,"1,247.50","1,234.25","1,247.50","1,222.25",,6.88%
5/13/2022,"1,167.25","1,172.75","1,198.50","1,158.50",0.00K,-0.62%
5/12/2022,"1,174.50","1,107.75","1,128.75","1,103.25",0.16K,5.93%
5/11/2022,"1,108.75","1,109.25","1,115.00","1,100.00",0.05K,2.35%
5/10/2022,"1,083.25","1,096.75","1,098.50","1,092.00",0.04K,-0.87%
5/9/2022,"1,092.75","1,120.75","1,135.00","1,090.00",37.35K,-1.42%
5/6/2022,"1,108.50","1,102.00","1,127.50","1,087.75",39.58K,0.18%
5/5/2022,"1,106.50","1,079.00","1,121.75","1,077.25",47.81K,2.79%
5/4/2022,"1,076.50","1,047.00","1,089.00","1,042.25",44.20K,2.82%
5/3/2022,"1,047.00","1,053.62","1,068.80","1,044.25",,-0.70%
5/2/2022,"1,054.38","1,045.25","1,071.38","1,034.25",,-0.13%
4/29/2022,"1,055.75","1,085.00","1,102.50","1,054.25",,-2.76%
4/28/2022,"1,085.75","1,088.00","1,106.50","1,081.00",,-0.50%
4/27/2022,"1,091.25","1,092.50","1,097.50","1,078.25",,-0.34%
4/26/2022,"1,095.00","1,081.00","1,107.00","1,077.00",,1.19%
4/25/2022,"1,082.12","1,087.50","1,089.30","1,056.12",,-0.04%
4/24/2022,"1,082.50","1,073.25","1,084.25","1,073.25",,1.60%
4/22/2022,"1,065.50","1,070.00","1,076.00","1,052.50",,-0.23%
4/21/2022,"1,068.00","1,094.25","1,094.25","1,052.50",,-1.84%
4/20/2022,"1,088.00","1,094.75","1,109.75","1,066.75",,-1.00%
